"OBJECTID_G"|"LINKVALUE_G"|"SPRID_G"|"NORMALSTATE_G"|"REALSTATE_G"
70542303|"CA16016-3"|1163|"15"|"15"
17526673|"14432-9"|1159|"15"|"15"
89014655|"54151-9"|1159|"15"|"15"
18106417|"8043-13"|1163|"15"|"15"
81896116|"CTRAL GENERADORA SECCO-1"|1163|"15"|"0 "
85242964|"6192-9"|1163|"15"|"15"
90582448|"34975-7"|1163|"15"|"15"
18107861|"14121-9"|1455|"15"|"15"
24411779|"14121-1"|1163|"0 "|"0 "
18594165|"14344-9"|1455|"15"|"0 "
82207298|"18298-TR1"|1159|"15"|"15"
17697821|"52133-1"|1159|"15"|"15"
20469739|"33493-3"|1167|"15"|"0 "
87779352|"77507-19"|1455|"15"|"15"
61067248|"33635-9"|1163|"15"|"15"
69946739|"5064-3"|1455|"0 "|"0 "
17729763|"5957-1"|1159|"15"|"15"
89224863|"7059-17"|1455|"15"|"15"
89114071|"40136-2"|1163|"15"|"15"
17526373|"14418-9"|1159|"15"|"15"
18560182|"2499-5"|1163|"15"|"15"
17476959|"11333-9"|1159|"15"|"15"
69487523|"6042-3"|1163|"0 "|"0 "
88234086|"26142-9"|1159|"15"|"15"
18553286|"51211-9"|1163|"15"|"15"
17672351|"51006-1"|1159|"15"|"15"
85151280|"54092-9"|1159|"15"|"15"
83311893|"14968-3"|1163|"15"|"15"
44040011|"78097-3"|1163|"0 "|"0 "
70125244|"77120-19"|1455|"0 "|"0 "
55409043|"9644-9"|1159|"15"|"0 "
50717158|"6108-1"|1163|"15"|"15"
17528869|"14511-9"|1159|"15"|"15"
84848445|"34111-1"|1163|"15"|"0 "
57818617|"79183-3"|1163|"15"|"15"
69869426|"14652-71"|1163|"0 "|"0 "
76443564|"RE4837-7"|1163|"15"|"15"
17524819|"14372-1"|1163|"15"|"15"
83452173|"54065-9"|1159|"15"|"15"
32708480|"9615-9"|1163|"15"|"15"
23328441|"14284-5"|1167|"15"|"15"
17766967|"77037-7"|1163|"0 "|"0 "
88212342|"9749-TR1"|1159|"15"|"15"
83868730|"26090-9"|1159|"15"|"15"
18560555|"52994-1"|1163|"15"|"0 "
17477679|"1138-1"|1163|"15"|"15"
17729785|"5958-1"|1159|"15"|"15"
46032697|"77554-7"|1163|"15"|"15"
24411777|"14121-5"|1163|"15"|"15"
17853013|"9469-9"|1159|"15"|"15"
38135972|"34752-9"|1159|"15"|"15"
84382125|"11754-7"|1163|"15"|"0 "
17776095|"77306-3"|1163|"15"|"15"
17854575|"9546-9"|1159|"15"|"15"
44290727|"9647-9"|1159|"15"|"0 "
33579018|"40171-9"|1159|"15"|"15"
18105196|"5388-5"|1163|"15"|"15"
69487525|"6042-5"|1163|"0 "|"0 "
83738674|"5376-7"|1163|"15"|"15"
17851995|"9415-1"|1159|"15"|"15"
69204474|"9267-9"|1159|"15"|"15"
55303917|"5064-SA4PI"|1167|"15"|"15"
89688262|"17151-5"|1163|"0 "|"0 "
77261521|"5550-7509"|1167|"0 "|"0 "
17788955|"78012-1"|1163|"15"|"15"
17592597|"33298-9"|1159|"15"|"15"
84881825|"33741-TR1"|1163|"15"|"15"
18108526|"33079-4"|1167|"15"|"15"
17524845|"14372-9"|1163|"15"|"15"
17786945|"77773-9"|1163|"15"|"15"
17782961|"77554-1"|1163|"15"|"0 "
17477685|"1138-5"|1163|"15"|"15"
42760921|"8015-7"|1163|"15"|"15"
57859345|"19793-9"|1163|"15"|"15"
84022674|"35040-7"|1163|"0 "|"0 "
89224871|"7059-15"|1455|"15"|"15"
19433026|"6988-9"|1159|"15"|"15"
54308214|"81311-9"|1455|"15"|"15"
71936482|"5064-SB2PI"|1167|"15"|"15"
87298138|"18319-TR1"|1159|"15"|"15"
17590483|"33238-3"|1163|"0 "|"0 "
30448944|"14690-5"|1163|"0 "|"0 "
18569032|"14396-9"|1455|"15"|"0 "
77261102|"53581-7505"|1167|"0 "|"0 "
24411780|"14121-3"|1163|"15"|"15"
17569087|"2398-1"|1159|"15"|"15"
84303497|"9584-9"|1159|"15"|"15"
70125276|"77142-19"|1455|"15"|"15"
17777355|"77354-1"|1163|"0 "|"0 "
73582769|"81311-1"|1163|"0 "|"0 "
86783890|"26126-1"|1163|"15"|"15"
55327058|"9641-9"|1167|"15"|"0 "
57818613|"79183-9"|1455|"15"|"15"
76443622|"RE4826-1"|1163|"15"|"15"
84848446|"34111-5"|1163|"15"|"0 "
70542304|"CA16016-1"|1163|"15"|"15"
76443697|"RE4830-5"|1163|"15"|"15"
17786913|"77773-7"|1163|"15"|"0 "
69485735|"34518-1"|1159|"15"|"15"
68869480|"14012-19"|1455|"15"|"0 "
17539987|"16211-9"|1159|"15"|"15"
88130003|"2801-5"|1163|"15"|"15"
17542681|"16327-1"|1159|"15"|"15"
73591832|"81311-5"|1163|"15"|"15"
17698603|"52165-1"|1159|"15"|"15"
